Rucsac: Solutie Random n-50 k-10000

Solutii:
V	G	Solutie
567	104	00000101010000100010100101010111001111101101101001

560	134	01011101110011000000111000100010010010100101000101

681	148	00110000110011111001110111110100101110111000111010

728	138	11001000110110101011111100000100101110101011110011

635	124	00110000101110010011111101010111001100111010011000

651	123	10101000010001110000010100010011010110101101011101

659	134	10100111001001001110110110101000100011110010011101

530	96	00000000110101011000100011000111000110011011011010

645	125	11101001101110000010001011111011001000101011001001

401	98	10001001010000000101110011010000100110011000010011

521	134	01010011111110000001100010111010110001100000110001

793	150	10011110110111111011010001011111010100100101011000

472	86	01010010001100110010001000000110000001100000110011

717	147	10100110011100110101011101011011010011110100000010

602	135	00100010101010101101101111100100110100000101000001

687	128	11100100011001011001101110100011111001100010011000

647	142	00010101001111011111011110001101000010110001000110

504	97	00010100110000001001001110100100100001110100010011

738	168	01101110101001100111100111000001111110000110111010

777	162	01011010110111001001101100101000110111011111000110

612	112	10111000000111101001100001010010010110001000111101

601	130	11101001011011000000111101110100010010011000101101

694	130	01110010011100101000100110110101110001100110010110

848	155	11111010011110101101010111101111111001101000000110

703	135	10000011110001100011010011111101011101011100010110

617	111	00010011010101001010011101000110000011011100100101

518	108	10110110100001000010001010101000100110010001010001

550	136	00001101101111001001001000011011101110110001000000

783	161	01110100100110011001011101101110000111111100111110

692	136	01000111110100010010010011101110101001101111100100

470	113	01100111100000101010100000111000000010100101011001

817	156	10011110101100110110111011010101001101111101011100

713	143	10100101111100110100101011101110100100100111000101

596	110	00110000001011101010001110111010110101000000101000

703	143	00101001101110101111011011001011000011110011001101

660	145	00011001011111100110100001011011100111011101101101

782	154	01001011001000111000101110110011111010010101001110

714	143	11010100001011110010111011100010110010100110110010

761	132	11111000010011111110101111001110010010001110000001

582	131	00000101100101101001010011000010010111101111001010

692	140	01111110111001100100010100101111010000100011010101

612	147	01100000111011110011010110001111101100100101001001

532	137	01110001101100001100101101000001100011111111001001

633	129	00011001010101110001010010111100001011101111001100

715	126	10101000000111101110010000101010110111001011010101

628	131	10011111011001110010110010110001010000011100010010

817	176	10011101001111111111110000011100110111011110111101

653	139	01101100101000011111100110011100101101010111010000

565	105	00001110010010010000101010001100111001110101011000

705	165	00110110110010011101111110111000000110101100001011

582	132	00101010101100010011000000010101100110100111000011

673	147	00100010111111101100010110000111110111110000000100

695	144	01101011100001111011001010100100011000100110110001

794	185	00110011100111110111000111111001111110000101010010

592	130	01001110110001110010010000111001101010010000111100

716	148	01010110011110100111001001111101000101101100101111

743	127	00010010010010001001101111001101001110100111101111

464	121	01000011101010000010011011001000000100100100110011

540	104	00010010110110100010100010010100100100111000111111

483	106	01010000100101000000011001001000011010110011100101

671	151	10100011101001010100111111110100100100000111001100

620	125	01001111011001101110001100011010010100001001010001

663	126	00001010010100110011011110000001111000110100001101

678	158	01111011011011000011110010110100000111011100011111

713	121	10111011010010011011000011001011010011101100001100

860	195	11111111101111010100110111111110101010111010101010

657	141	00100100101011001111010011111000111000011001110111

692	127	10110001110100011110110111001110000100011110010011

626	131	00100010100000100111111011011100110111110000010110

627	124	10101001010101000110001001100001111011101000100011

601	116	10110011010001110011000010011101101001010000100111

659	144	11101101011101100101000110010110101011001001011011

700	142	01101000001101000100101111100111101110100001001110

628	131	11000000010111001111101100110000111111011000000001

746	117	10111000011001001001001111010111000010010111101110

629	134	11000001110110001110111101101000110011111001000010

755	162	01000111110100111010111001111001011101011111000001

672	131	10011111110101001011010001101000010010001111000010

708	131	00001100000111100110011101100111101100010001101101

658	131	01100111001000111000001011100111111001001001100010

636	151	11110100110111000000110101110001100110010101001110

573	113	00101100010001011101000111001000100011100010111010

602	149	01101011101001001001101001110011010100011101000001

702	170	11101111010100011100010010101001100111101101101001

444	115	01101001101100000010010011101000000000110101101001

656	169	01101011101111011111111000111001000001000010000011

566	112	01000100110101000010101011000000111110001010001110

597	126	01000100110011110011001100011111010001001100100010

689	128	10010011000010110100101101100011010010100100100110

622	105	10000000010010111011011000011001011100000111100010

488	105	11110100001000110001100000011100000100100111011011

651	121	10111011110001000110010011010110001110101001000100

606	140	11001011111011100110101011000100101110010000100001

695	137	11101011101110101001000001111011001000100111000100

790	161	11110110101110110011101111010011100101001001001110

593	113	01010010010100101101110110101000001000001011110101

634	129	11001001011000111100000011101001101011000100000111

698	138	00011111010010110101000110001101011110000010100101

651	119	10101110011110100000000011011000001111111001001101

624	107	10100010000111111000001001010100010101110010011010

655	122	00010101000100110111100110001101010101000011111110

661	122	00110110110000001111011001100100000111000101010110

621	137	11111000011011010100011001010000101100101001100111

450	105	00110010100010001001100000100001100110001111010000

694	150	10111101100111111001100100001000001011010100111101

664	129	11111101010100011111001001011011000100111000101010

602	114	00111101100000001010010111101101101001010011000001

648	110	10110010001001111011000011001110101001101000110011

668	133	10111010100111000110110010101100010000111100111100

859	166	10110111111010110011001111001111100111110111001010

689	158	01110011001111111110011110000010000101111001000011

790	156	11101101001011111100101101100101101100010010111110

731	154	10101101010100010111111011100011100110111100010010

615	150	01110011000110010011011010100101110100111001000011

504	111	01011000001111010011110000110110100001000000010100

490	92	00101110100000111001000101010010000001111001000000

624	158	01101110100101011100001000011000000111111101101001

693	151	00101011100011101100010011010110110101110110000101

641	135	01000111011100000111100001101110110110110111011000

643	136	01101000010011000110010010101010101111001100111101

609	100	10100010111000001011100101100000011010101010101001

615	116	00001011010111001000001111010010010100001001011001

717	150	01010111110000110001001011111000101100100011111111

501	113	00100011110001100000100111011000010101000011100001

577	107	10000101000110110000100101110010101101111000001100

533	132	01110101100110000001001000111100010110101011010001

553	115	01010111000100000100100001110100001110000011001111

632	103	10001010011011001111100011110100011001010001010000

602	115	10011111110000101100010000001100101011011011010011

832	184	11110111111001110100101010100101011111111110110010

777	189	01011001001111011110110111111101100111110100001011

644	129	01000101010110101110101100010111000011110101101010

568	103	11000000010110110010101000100101001110101010100001

828	162	01101010111111111010000101101010110110101110000100

504	111	00000010110111100110011101000000101101000000101000

744	154	01111001110011011110100011001100110111111011111100

591	98	10001100010110001000010011010101010010001001101110

736	148	00000110110011010001011110000110110111110010101110

614	130	00110001111010101010111010000000111111000010111001

653	124	11101010001001010010110101001010010010011110000101

825	168	11101110000111100100001101111011011100100100101011

